subject_id,subject_version,family,n_runs,mean_input_tokens,mean_output_tokens,output_to_input_ratio,median_latency_s,p95_latency_s,price_per_input_token_usd,price_per_output_token_usd
claude-haiku-4-5,claude-haiku-4-5-20251001,FOUL,9,2356.3,1728.6,0.734,19.05,24.45,0.0000010000,0.0000050000
claude-haiku-4-5,claude-haiku-4-5-20251001,MECH,5,2693.8,1601.0,0.594,17.85,20.95,0.0000010000,0.0000050000
claude-haiku-4-5,claude-haiku-4-5-20251001,NOWE,4,2732.0,1730.8,0.634,20.03,21.54,0.0000010000,0.0000050000
claude-haiku-4-5,claude-haiku-4-5-20251001,OXID,6,2735.5,1706.0,0.624,19.75,20.17,0.0000010000,0.0000050000
claude-haiku-4-5,claude-haiku-4-5-20251001,SCAL,7,2708.0,1821.1,0.673,20.39,21.70,0.0000010000,0.0000050000
claude-opus-4-6,claude-opus-4-6,FOUL,9,2357.3,1976.2,0.838,44.44,50.06,0.0000050000,0.0000250000
claude-opus-4-6,claude-opus-4-6,MECH,5,2694.8,1866.0,0.692,40.78,44.08,0.0000050000,0.0000250000
claude-opus-4-6,claude-opus-4-6,NOWE,4,2733.0,2152.5,0.788,47.58,52.83,0.0000050000,0.0000250000
claude-opus-4-6,claude-opus-4-6,OXID,6,2736.5,1910.0,0.698,42.25,46.96,0.0000050000,0.0000250000
claude-opus-4-6,claude-opus-4-6,SCAL,7,2709.0,2189.6,0.808,46.12,49.73,0.0000050000,0.0000250000
claude-opus-4-7,claude-opus-4-7,FOUL,9,3325.4,1794.3,0.540,25.84,28.02,0.0000050000,0.0000250000
claude-opus-4-7,claude-opus-4-7,MECH,5,3530.4,1731.0,0.490,24.95,25.70,0.0000050000,0.0000250000
claude-opus-4-7,claude-opus-4-7,NOWE,4,3595.5,1721.8,0.479,25.03,29.17,0.0000050000,0.0000250000
claude-opus-4-7,claude-opus-4-7,OXID,6,3569.8,1687.5,0.473,23.97,30.10,0.0000050000,0.0000250000
claude-opus-4-7,claude-opus-4-7,SCAL,7,3535.6,1977.6,0.559,27.46,28.91,0.0000050000,0.0000250000
deepseek-v4-flash,deepseek-v4-flash,FOUL,9,2035.1,937.7,0.461,17.07,20.02,0.0000002800,0.0000004200
deepseek-v4-flash,deepseek-v4-flash,MECH,5,2334.6,1399.4,0.599,18.90,25.09,,
deepseek-v4-flash,deepseek-v4-flash,NOWE,4,2372.5,2313.0,0.975,34.53,42.76,,
deepseek-v4-flash,deepseek-v4-flash,OXID,6,2361.3,2369.2,1.003,39.15,63.66,,
deepseek-v4-flash,deepseek-v4-flash,SCAL,7,2326.1,2714.9,1.167,30.45,69.41,,
gemini-2-5-flash-lite,gemini-2.5-flash-lite,FOUL,9,2118.0,992.2,0.468,10.99,27.09,0.0000001000,0.0000004000
gemini-2-5-flash-lite,gemini-2.5-flash-lite,MECH,5,2435.2,987.6,0.406,11.54,13.57,0.0000001000,0.0000004000
gemini-2-5-flash-lite,gemini-2.5-flash-lite,NOWE,4,2451.8,977.8,0.399,5.87,8.53,0.0000001000,0.0000004000
gemini-2-5-flash-lite,gemini-2.5-flash-lite,OXID,6,2460.7,1065.7,0.433,10.10,16.11,0.0000001000,0.0000004000
gemini-2-5-flash-lite,gemini-2.5-flash-lite,SCAL,7,2430.1,1022.7,0.421,11.83,12.68,0.0000001000,0.0000004000
gemini-2-5-pro,gemini-2.5-pro,FOUL,9,2118.0,4568.9,2.157,39.54,49.54,0.0000012500,0.0000100000
gemini-2-5-pro,gemini-2.5-pro,MECH,5,2435.2,3930.4,1.614,30.91,49.62,0.0000012500,0.0000100000
gemini-2-5-pro,gemini-2.5-pro,NOWE,4,2451.8,4145.0,1.691,37.32,38.63,0.0000012500,0.0000100000
gemini-2-5-pro,gemini-2.5-pro,OXID,6,2460.7,4100.7,1.666,37.17,40.19,0.0000012500,0.0000100000
gemini-2-5-pro,gemini-2.5-pro,SCAL,7,2430.1,4617.6,1.900,40.39,52.49,0.0000012500,0.0000100000
gemini-3-1-flash-lite,gemini-3.1-flash-lite,FOUL,10,2095.0,554.9,0.265,3.69,21.52,,
gemini-3-1-flash-lite,gemini-3.1-flash-lite,MECH,5,2435.2,550.4,0.226,6.42,45.55,,
gemini-3-1-flash-lite,gemini-3.1-flash-lite,NOWE,4,2451.8,536.2,0.219,4.29,15.35,,
gemini-3-1-flash-lite,gemini-3.1-flash-lite,OXID,6,2460.7,468.0,0.190,25.95,64.37,,
gemini-3-1-flash-lite,gemini-3.1-flash-lite,SCAL,7,2430.1,571.9,0.235,5.75,27.51,,
gemini-3-1-pro-preview,gemini-3.1-pro-preview,FOUL,1,1888.0,4010.0,2.124,1856.51,1856.51,0.0000020000,0.0000120000
gpt-3-5-turbo,gpt-3.5-turbo-0125,FOUL,9,2047.9,396.9,0.194,5.78,9.15,0.0000005000,0.0000015000
gpt-3-5-turbo,gpt-3.5-turbo-0125,MECH,5,2343.2,451.0,0.192,7.58,8.55,0.0000005000,0.0000015000
gpt-3-5-turbo,gpt-3.5-turbo-0125,NOWE,4,2389.2,426.5,0.179,7.20,9.17,0.0000005000,0.0000015000
gpt-3-5-turbo,gpt-3.5-turbo-0125,OXID,6,2372.3,389.8,0.164,6.51,9.88,0.0000005000,0.0000015000
gpt-3-5-turbo,gpt-3.5-turbo-0125,SCAL,7,2340.6,335.9,0.143,4.72,6.36,0.0000005000,0.0000015000
gpt-5,gpt-5-2025-08-07,FOUL,10,1960.2,5439.4,2.775,84.61,103.34,0.0000012500,0.0000100000
gpt-5,gpt-5-2025-08-07,MECH,5,2266.2,4623.2,2.040,58.02,66.68,0.0000012500,0.0000100000
gpt-5,gpt-5-2025-08-07,NOWE,4,2296.0,5884.0,2.563,77.75,108.77,0.0000012500,0.0000100000
gpt-5,gpt-5-2025-08-07,OXID,6,2295.7,6253.3,2.724,81.62,99.11,0.0000012500,0.0000100000
gpt-5,gpt-5-2025-08-07,SCAL,7,2260.4,6524.9,2.887,82.62,108.68,0.0000012500,0.0000100000
gpt-5-5,gpt-5.5-2026-04-23,FOUL,9,2147.0,2368.9,1.103,50.02,72.82,0.0000050000,0.0000300000
gpt-5-5,gpt-5.5-2026-04-23,MECH,5,2266.2,1898.2,0.838,41.40,53.39,0.0000050000,0.0000300000
gpt-5-5,gpt-5.5-2026-04-23,NOWE,4,2296.0,2132.0,0.929,46.39,72.52,0.0000050000,0.0000300000
gpt-5-5,gpt-5.5-2026-04-23,OXID,6,2295.7,2043.8,0.890,45.95,63.87,0.0000050000,0.0000300000
gpt-5-5,gpt-5.5-2026-04-23,SCAL,7,2260.4,2190.7,0.969,45.57,60.19,0.0000050000,0.0000300000
mistral-medium-3,mistral-medium-2505,FOUL,9,2094.1,476.1,0.227,11.80,13.31,0.0000004000,0.0000020000
mistral-medium-3,mistral-medium-2505,MECH,5,2393.8,494.2,0.206,11.63,12.61,0.0000004000,0.0000020000
mistral-medium-3,mistral-medium-2505,NOWE,4,2420.0,458.0,0.189,10.03,12.04,0.0000004000,0.0000020000
mistral-medium-3,mistral-medium-2505,OXID,6,2434.2,536.7,0.220,12.25,15.07,0.0000004000,0.0000020000
mistral-medium-3,mistral-medium-2505,SCAL,7,2390.9,507.9,0.212,14.30,17.70,0.0000004000,0.0000020000
mistral-small-3,mistral-small-2603,FOUL,9,2106.1,1006.1,0.478,8.69,10.48,,
mistral-small-3,mistral-small-2603,MECH,5,2405.8,1080.4,0.449,7.61,8.08,,
mistral-small-3,mistral-small-2603,NOWE,4,2432.0,1103.2,0.454,8.09,8.86,,
mistral-small-3,mistral-small-2603,OXID,6,2446.2,1026.0,0.419,7.23,8.78,,
mistral-small-3,mistral-small-2603,SCAL,7,2402.9,992.7,0.413,8.30,27.60,,
